あ,أ,أ
ぺえ,بيي,بيي
ぽう,بوو,بوو
ぽお,بوو,بوو
ぴゃあ,بياا,بياا
ぴゅう,بيوو,بيوو
ぴょう,بيوو,بيوو
ぴょお,بيوو,بيوو
ぺい,بيي,بيي
ま,ما,ما
み,مي,مي
む,مو,مو
め,مي,مي
も,مو,مو
みゃ,ميا,ميا
みゅ,ميو,ميو
みょ,ميو,ميو
まあ,ماا,ماا
みい,ميي,ميي
むう,موو,موو
めえ,ميي,ميي
もう,موو,موو
もお,موو,موو
みゃあ,مياا,مياا
みゅう,ميوو,ميوو
みょう,ميوو,ميوو
みょお,ميوو,ميوو
めい,ميي,ميي
や,يا,يا
ゆ,يو,يو
よ,يو,يو
やあ,ياا,ياا
ゆう,يوو,يوو
よう,يوو,يوو
よお,يوو,يوو
ら,را,را
り,ري,ري
る,رو,رو
れ,ري,ري
ろ,رو,رو
りゃ,ريا,ريا
りゅ,ريو,ريو
りょ,ريو,ريو
らあ,راا,راا
りい,ريي,ريي
るう,روو,روو
れえ,ريي,ريي
ろう,روو,روو
ろお,روو,روو
りゃあ,رياا,رياا
りゅう,ريوو,ريوو
りょう,ريوو,ريوو
りょお,ريوو,ريوو
れい,ريي,ريي
わ,وا,وا
うぃ,وي,وي
うぇ,وي,وي
うぉ,وو,وو
わあ,واا,واا
うぃい,ويي,ويي
うぇえ,ويي,ويي
うぉう,ووو,ووو
うぉお,ووو,ووو
うぇい,ويي,ويي
ん,ن,ن
を,أو,أو
っ,,
んあ,نها,نها
んい,نهي,نهي
んう,نهو,نهو
んえ,نهي,نهي
んお,نهو,نهو
んや,نهيا,نهيا
んゆ,نهيو,نهيو
んよ,نهيو,نهيو
んああ,نهاا,نهاا
んいい,نهيي,نهيي
んうう,نهوو,نهوو
んええ,نهيي,نهيي
んおう,نهوو,نهوو
んおお,نهوو,نهوو
んやあ,نهياا,نهياا
んゆう,نهيوو,نهيوو
んよう,نهيوو,نهيوو
んよお,نهيوو,نهيوو
んえい,نهيي,نهيي
っか,كّا,كّا
っき,كّي,كّي
っく,كّو,كّو
っけ,كّي,كّي
っこ,كّو,كّو
っきゃ,كّيا,كّيا
っきゅ,كّيو,كّيو
っきょ,كّيو,كّيو
っかあ,كّاا,كّاا
っきい,كّيي,كّيي
っくう,كّوو,كّوو
っけえ,كّيي,كّيي
っこう,كّوو,كّوو
っこお,كّوو,كّوو
っきゃあ,كّياا,كّياا
っきゅう,كّيوو,كّيوو
っきょう,كّيوو,كّيوو
っきょお,كّيوو,كّيوو
っけい,كّيي,كّيي
っさ,سّا,سّا
っすぃ,سّي,سّي
っす,سّو,سّو
っせ,سّي,سّي
っそ,سّو,سّو
っさあ,سّاا,سّاا
っすぃい,سّيي,سّيي
っすう,سّوو,سّوو
っせえ,سّيي,سّيي
っそう,سّوو,سّوو
っそお,سّوو,سّوو
っせい,سّيي,سّيي
っしゃ,شّا,شّا
っし,شّي,شّي
っしゅ,شّو,شّو
っしぇ,شّي,شّي
っしょ,شّو,شّو
っしゃあ,شّاا,شّاا
っしい,شّيي,شّيي
っしゅう,شّوو,شّوو
っしぇえ,شّيي,شّيي
っしょう,شّوو,شّوو
っしょお,شّوو,شّوو
っしぇい,شّيي,شّيي
った,تّا,تّا
ってぃ,تّي,تّي
っとぅ,تّو,تّو
って,تّي,تّي
っと,تّو,تّو
ったあ,تّاا,تّاا
ってぃい,تّيي,تّيي
っとぅう,تّوو,تّوو
ってえ,تّيي,تّيي
っとう,تّوو,تّوو
っとお,تّوو,تّوو
ってい,تّيي,تّيي
っちゃ,تّشا,تّشا
っち,تّشي,تّشي
っちゅ,تّشو,تّشو
っちぇ,تّشي,تّشي
っちょ,تّشو,تّشو
っちゃあ,تّشاا,تّشاا
っちい,تّشيي,تّشيي
っちゅう,تّشوو,تّشوو
っちぇえ,تّشيي,تّشيي
っちょう,تّشوو,تّشوو
っちょお,تّشوو,تّشوو
っちぇい,تّشيي,تّشيي
っつぁ,تّسا,تّسا
っつぃ,تّسي,تّسي
っつ,تّسو,تّسو
っつぇ,تّسي,تّسي
っつぉ,تّسو,تّسو
っつぁあ,تّساا,تّساا
っつぃい,تّسيي,تّسيي
っつう,تّسوو,تّسوو
っつぇえ,تّسيي,تّسيي
っつぉう,تّسوو,تّسوو
っつぉお,تّسوو,تّسوو
っつぇい,تّسيي,تّسيي
っぱ,بّا,بّا
っぴ,بّي,بّي
っぷ,بّو,بّو
っぺ,بّي,بّي
っぽ,بّو,بّو
っぴゃ,بّيا,بّيا
っぴゅ,بّيو,بّيو
っぴょ,بّيو,بّيو
っぱあ,بّاا,بّاا
っぴい,بّيي,بّيي
っぷう,بّوو,بّوو
っぺえ,بّيي,بّيي
っぽう,بّوو,بّوو
っぽお,بّوو,بّوو
っぴゃあ,بّياا,بّياا
っぴゅう,بّيوو,بّيوو
っぴょう,بّيوو,بّيوو
っぴょお,بّيوو,بّيوو
っぺい,بّيي,بّيي
ぁ,ا,ا
ぃ,ي,ي
ぅ,و,و
ぇ,ي,ي
ぉ,و,و
ゃ,يا,يا
ゅ,يو,يو
ょ,يو,يو
ぁあ,اا,اا
ぃい,يي,يي
ぅう,وو,وو
ぇえ,يي,يي
ぉう,وو,وو
ぉお,وو,وو
ゃあ,ياا,ياا
ゅう,يوو,يوو
ょう,يوو,يوو
ょお,يوو,يوو
ぇい,يي,يي
ゔぁ,با,با
ゔぃ,بي,بي
ゔ,بو,بو
ゔぇ,بي,بي
ゔぉ,بو,بو
ゔぁあ,باا,باا
ゔぃい,بيي,بيي
ゔう,بوو,بوو
ゔぇえ,بيي,بيي
ゔぉう,بوو,بوو
ゔぉお,بوو,بوو
ゔぇい,بيي,بيي
