qqa,a
we,ウェ
wo,を
wya,(--)
wyo,(--)
wyu,(--)
NNa,んあ
NNi,んい
NNu,んう
NNe,んえ
NNo,んお
NNya,んや
NNyu,んゆ
NNyo,んよ
NNan,んあん
NNin,んいん
NNun,んうん
NNen,んえん
NNon,んおん
NNyan,んやん
NNyun,んゆん
NNyon,んよん
NNatt,んあっ
NNitt,んいっ
NNutt,んうっ
NNett,んえっ
NNott,んおっ
NNyatt,んやっ
NNyutt,んゆっ
NNyott,んよっ
NNqq,ん
qqqq,
(a)ai,あい
(a)yai,(やい)
kai,かい
kkai,っかい
kyai,きゃい
kkyai,っきゃい
gai,がい
gyai,ぎゃい
sai,さい
ssai,っさい
syai,(しゃい)
ssyai,(っしゃい)
shai,しゃい
sshai,っしゃい
shyai,(しゃい)
sshyai,(っしゃい)
zai,ざい
zyai,(じゃい)
jai,じゃい
jyai,(じゃい)
tai,たい
ttai,ったい
chyai,ちゃい
cchyai,っちゃい
chai,ちゃい
cchai,っちゃい
tsai,ツァイ
tsyai,(ちゃい)
ttsai,ッツァイ
ttsyai,(っちゃい)
tyai,(ちゃい)
ttyai,(っちゃい)
dai,だい
dyai,(じゃい)
nai,ない
nyai,にゃい
hai,はい
hyai,ひゃい
bai,ばい
byai,びゃい
pai,ぱい
ppai,っぱい
pyai,ぴゃい
ppyai,っぴゃい
fai,ファイ
fyai,(ひゃい)
mai,まい
myai,みゃい
yai,やい
yyai,(やい)
rai,らい
ryai,りゃい
wai,わい
NNai,(-)
qqai,ai
(a)an,あん
(a)en,えん
(a)in,いん
(a)on,おん
(a)un,うん
(a)yan,(やん)
(a)yon,(よん)
(a)yun,(ゆん)
kan,かん
ken,けん
kin,きん
kon,こん
kun,くん
kyan,きゃん
kyon,きょん
kyun,きゅん
gan,がん
gen,げん
gin,ぎん
gon,ごん
gun,ぐん
gyan,ぎゃん
gyon,ぎょん
gyun,ぎゅん
san,さん
sin,スィん
sun,すん
sen,せん
son,そん
syan,(しゃん)
syun,(しゅん)
syon,(しょん)
shan,しゃん
shen,シェン
shin,しん
shon,(しょん)
shun,しゅん
shyan,(しゃん)
shyon,(しょん)
shyun,(しゅん)
zan,ざん
zen,ぜん
zin,ズィん
zon,ぞん
zun,ずん
zyan,(じゃん)
zyon,(じょん)
zyun,(じゅん)
jan,じゃん
jen,ジェン
jin,じん
jon,じょん
jun,じゅん
jyan,(じゃん)
jyon,(じょん)
jyun,(じゅん)
tan,たん
tin,ティん
tun,トゥン
ten,てん
ton,とん
tyan,(ちゃん)
tyon,(ちょん)
tyun,(ちゅん)
chan,ちゃん
chen,チェン
chin,ちん
chon,ちょん
chun,ちゅん
chyan,ちゃん
chyon,ちょん
chyun,ちゅん
tsan,ツァん
tsen,ツェン
tsin,ツィん
tson,ツォン
tsun,つん
tsyan,(ちゃん)
tsyon,(ちょん)
tsyun,(ちゅん)
dan,だん
den,でん
din,ディン
don,どん
dun,ドゥン
dyan,(じゃん)
dyon,(じょん)
dyun,(じゅん)
nan,なん
nen,ねん
nin,にん
non,のん
nun,ぬん
nyan,にゃん
nyon,にょん
nyun,にゅん
han,はん
hen,へん
hin,ひん
hon,ほん
hun,(ふん)
hyan,ひゃん
hyon,ひょん
hyun,ひゅん
fan,ファン
fen,フェン
fin,フィん
fon,フォン
fun,ふん
fyan,(ひゃん)
fyon,(ひょん)
fyun,(ひゅん)
ban,ばん
ben,べん
bin,びん
bon,ぼん
bun,ぶん
byan,びゃん
byon,びょん
byun,びゅん
pan,ぱん
pen,ぺん
pin,ぴん
pon,ぽん
pun,ぷん
pyan,ぴゃん
pyon,ぴょん
pyun,ぴゅん
man,まん
men,めん
min,みん
mon,もん
mun,むん
myan,みゃん
myon,みょん
myun,みゅん
yan,やん
yen,(えん)
yin,(いん)
yon,よん
yun,ゆん
yyan,(やん)
yyon,(よん)
yyun,(ゆん)
ran,らん
ren,れん
rin,りん
ron,ろん
run,るん
ryan,りゃん
ryon,りょん
ryun,りゅん
wan,わん
wen,ウェン
win,ウィん
won,おん
wun,(うん)
wyan,(--)
wyun,(--)
wyon,(--)
(a)att,あっ
(a)ett,えっ
(a)itt,いっ
(a)ott,おっ
(a)utt,うっ
(a)yatt,(やっ)
(a)yott,(よっ)
(a)yutt,(ゆっ)
katt,かっ
kett,けっ
kitt,きっ
kott,こっ
kutt,くっ
kyatt,きゃっ
kyott,きょっ
kyutt,きゅっ
gatt,がっ
gett,げっ
gitt,ぎっ
gott,ごっ
gutt,ぐっ
gyatt,ぎゃっ
gyott,ぎょっ
gyutt,ぎゅっ
satt,さっ
sitt,スィっ
sutt,すっ
sett,せっ
sott,そっ
syatt,(しゃっ)
syott,(しょっ)
syutt,(しゅっ)
shatt,しゃっ
shett,シェっ
shitt,しっ
shott,(しょっ)
shutt,しゅっ
shyatt,(しゃっ)
shyott,(しょっ)
shyutt,(しゅっ)
zatt,ざっ
zett,ぜっ
zitt,ズィっ
zott,ぞっ
zutt,ずっ
zyatt,(じゃっ)
zyott,(じょっ)
zyutt,(じゅっ)
jatt,じゃっ
jett,ジェっ
jitt,じっ
jott,じょっ
jutt,じゅっ
jyatt,(じゃっ)
jyott,(じょっ)
jyutt,(じゅっ)
tatt,たっ
titt,ティっ
tutt,トゥっ
tett,てっ
tott,とっ
tyatt,(ちゃっ)
tyott,(ちょっ)
tyutt,(ちゅっ)
chatt,ちゃっ
chett,チェっ
chitt,ちっ
chott,ちょっ
chutt,ちゅっ
chyatt,ちゃっ
chyott,ちょっ
chyutt,ちゅっ
tsatt,ツァっ
tsitt,ツィっ
tsutt,つっ
tsett,ツェっ
tsott,ツォっ
tsyatt,(ちゃっ)
tsyott,(ちょっ)
tsyutt,(ちゅっ)
datt,だっ
dett,でっ
ditt,ディっ
dott,どっ
dutt,ドゥっ
dyatt,(じゃっ)
dyott,(じょっ)
dyutt,(じゅっ)
natt,なっ
nett,ねっ
nitt,にっ
nott,のっ
nutt,ぬっ
nyatt,にゃっ
nyott,にょっ
nyutt,にゅっ
hatt,はっ
hett,へっ
hitt,ひっ
hott,ほっ
hutt,(ふっ)
hyatt,ひゃっ
hyott,ひょっ
hyutt,ひゅっ
fatt,ファっ
fett,フェっ
fitt,フィっ
fott,フォっ
futt,ふっ
fyatt,(ひゃっ)
fyott,(ひょっ)
fyutt,(ひゅっ)
batt,ばっ
bett,べっ
bitt,びっ
bott,ぼっ
butt,ぶっ
byatt,びゃっ
byott,びょっ
byutt,びゅっ
patt,ぱっ
pett,ぺっ
pitt,ぴっ
pott,ぽっ
putt,ぷっ
pyatt,ぴゃっ
pyott,ぴょっ
pyutt,ぴゅっ
matt,まっ
mett,めっ
mitt,みっ
mott,もっ
mutt,むっ
myatt,みゃっ
myott,みょっ
myutt,みゅっ
yatt,やっ
yett,(えっ)
yitt,(いっ)
yott,よっ
yutt,ゆっ
yyatt,(やっ)
yyott,(よっ)
yyutt,(ゆっ)
ratt,らっ
rett,れっ
ritt,りっ
rott,ろっ
rutt,るっ
ryatt,りゃっ
ryott,りょっ
ryutt,りゅっ
watt,わっ
wett,ウェッ
witt,ウィッ
wutt,(--)
wett,ウェッ
wott,ウォッ
wyatt,(--)
wyutt,(--)
wyott,(--)
kka,っか
kki,っき
kku,っく
kke,っけ
kko,っこ
kkya,っきゃ
kkyu,っきゅ
kkyo,っきょ
ssa,っさ
ssi,ッスィ
ssu,っす
sse,っせ
sso,っそ
ssya,(っしゃ)
ssyu,(っしゅ)
ssyo,(っしょ)
ssha,っしゃ
sshi,っし
sshu,っしゅ
sshe,ッシェ
ssho,っしょ
sshya,っしゃ
sshyu,っしゅ
sshyo,っしょ
tta,った
tti,ッティ
ttu,ットゥ
tte,って
tto,っと
ttya,(っちゃ)
ttyu,(っちゅ)
ttyo,(っちょ)
ccha,っちゃ
cchi,っち
cchu,っちゅ
cche,ッチェ
ccho,っちょ
cchya,(っちゃ)
cchyu,(っちゅ)
cchyo,(っちょ)
ttsa,ッツァ
ttsi,ッツィ
ttsu,っつ
ttse,ッツェ
ttso,ッツォ
ttsya,(っちゃ)
ttsyu,(っちゅ)
ttsyo,(っちょ)
ppa,っぱ
ppi,っぴ
ppu,っぷ
ppe,っぺ
ppo,っぽ
ppya,っぴゃ
ppyu,っぴゅ
ppyo,っぴょ
